我的推荐,#genre#
凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://php.jdshipin.com:8880/xsj.php?id=phtv-cn 
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
翡翠台北美版(TVB J1),https://cdn5.1678520.xyz/live/live2.1.php?id=j1
翡翠台北美版(TVB J1),http://php.jdshipin.com:8880/TVOD/iptv.php?id=j1
翡翠台4K,https://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
翡翠台2K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台2K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台1K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳门Mac,http://cdn.132.us.kg/live/as/stream.m3u8.
澳视澳门,https://cdn.163189.xyz/live/asam/stream.m3u8
澳视澳门,http://php.jdshipin.com:8880/TVOD/iptv.php?id=asam
澳视澳门,http://cdn.132.us.kg/live/asam/stream.m3u8
澳视卫星,http://php.jdshipin.com:8880/TVOD/iptv.php?id=as
澳视卫星,http://cdn.163189.xyz/live/as/stream.m3u8
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新聞台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线华丽,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
探索频道,http://61.221.215.25:8800/hls/1/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
天映频道,http://php.jdshipin.com:8880/xsj.php?id=celestial 
天映频道, http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
华丽翡翠台|备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali2
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Wlt
华丽翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
华丽翡翠,http://cdn9.163189.xyz/smt1.1.php?id=Wlt
千禧经典台,http://php.jdshipin.com:8880/xsj.php?id=tvb-classic 
千禧经典台, http://php.jdshipin.com/smt.php?id=Tvbclassic
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
千禧经典,http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
千禧经典,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
动物星球1,http://61.221.215.25:8800/hls/57/index.m3u8
功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
八度空间,http://php.jdshipin.com/smt.php?id=TV8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
VIUTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
VIU TV,http://cdn5.1678520.xyz/live/?id=viu
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB粤语片台,http://php.jdshipin.com:8880/xsj.php?id=tvb-yueyu 
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxh
TVB星河,http://cdn9.163189.xyz/smt1.1.php?id=Xinhe
TVB星河, http://php.jdshipin.com/smt.php?id=Xinhe
TVB无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=wxxwt
TVB娱乐新闻台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbylxw
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
TVB亚洲剧台,http://php.jdshipin.com:8880/xsj.php?id=tvb-asia-drama 
TVB亚洲剧台,http://php.jdshipin.com:8880/xsj.php?id=tvb-asia-drama
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
TVB Xing He,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
TVB Plus,http://cdn.132.us.kg/live/tvbp/stream.m3u8
TVB PLUS,https://cdn.163189.xyz/live/tvbp/stream.m3u8
TVB PLUS,http://cdn5.1678520.xyz/live/?id=tvbp
TVB J1,https://cdn3.163189.xyz/live/j1/stream.m3u8
TVB J1,http://cdn5.1678520.xyz/live/?id=j1
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
RTHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
NowViu剧集台,http://php.jdshipin.com:8880/xsj.php?id=now-viu-drama 
NOW财经台,http://php.jdshipin.com:8880/xsj.php?id=now-finance 
NOW紫金国际台,http://php.jdshipin.com:8880/xsj.php?id=now-jelli 
NOW直播台,http://php.jdshipin.com:8880/xsj.php?id=now-direct 
NOW星影台,http://php.jdshipin.com:8880/xsj.php?id=now-baogu-superstars 
NOW新闻台,http://php.jdshipin.com:8880/xsj.php?id=now-news 
NOW HBO,http://php.jdshipin.com:8880/xsj.php?id=Now-HBO 
NOW HBO Signature,http://php.jdshipin.com:8880/xsj.php?id=now-hbo-signature 
NOW HBO Hits,http://php.jdshipin.com:8880/xsj.php?id=now-hbo-hits 
NOW HBO Family,http://php.jdshipin.com:8880/xsj.php?id=now-hbof-amily 
NHK,http://61.221.215.25:8800/hls/51/index.m3u8
LOS,http://61.221.215.25:8800/hls/58/index.m3u8
J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
HOY资讯台,http://php.jdshipin.com:8880/xsj.php?id=hoy-info 
HOY TV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
HOY 77,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
HOY 77,http://cdn5.1678520.xyz/live/?id=hoy
HOY 77,http://cdn.132.us.kg/live/hoy/stream.m3u8
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AOD,http://cdn9.163189.xyz/smt1.1.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
AMC,http://61.221.215.25:8800/hls/43/index.m3u8
1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905dy




CHC频道,#genre#

CHC家庭影院,http://ik.iptv8.net:8888/rtp/225.1.4.209:1262
CHC动作电影,http://ik.iptv8.net:8888/rtp/225.1.4.208:1261
CHC影迷电影,http://ik.iptv8.net:8888/rtp/225.1.4.207:1260
导视,http://ik.iptv8.net:8888/rtp/225.1.4.194:1244


少儿频道,#genre#
卡酷少儿,http://zqh2333.top:2222/rtp/239.93.24.208:5140
哈哈炫动,http://zqh2333.top:2222/rtp/239.93.24.173:5140
嘉佳卡通,http://zqh2333.top:2222/rtp/239.93.24.246:5140
优漫卡通,http://zqh2333.top:2222/rtp/239.93.24.251:5140
金鹰卡通,http://zqh2333.top:2222/rtp/239.93.24.108:5140




经典狂飙,#genre#
狂飙 第一集,https://vip.lz-cdn3.com/20230114/17154_db8125dc/1800k/hls/mixed.m3u8
狂飙 第二集,https://vip.lz-cdn3.com/20230114/17153_ab4d621a/1800k/hls/mixed.m3u8
狂飙 第三集,https://vip.lz-cdn3.com/20230114/17152_a52e37f9/1800k/hls/mixed.m3u8
狂飙 第四集,https://vip.lz-cdn3.com/20230114/17151_4542e04e/1800k/hls/mixed.m3u8
狂飙 第五集,https://vip.lz-cdn3.com/20230114/17150_abade231/1800k/hls/mixed.m3u8
狂飙 第六集,https://vip.lzcdn2.com/20230115/23356_f73a5483/1800k/hls/mixed.m3u8
狂飙 第七集,https://vip.lzcdn2.com/20230115/23355_f43e640a/1800k/hls/mixed.m3u8
狂飙 第八集,https://vip.lzcdn2.com/20230116/23419_27b37cf8/1800k/hls/mixed.m3u8
狂飙 第九集,https://vip.lzcdn2.com/20230116/23418_139fc861/1800k/hls/mixed.m3u8
狂飙 第十集,https://vip.lzcdn2.com/20230117/23466_0094544a/1800k/hls/mixed.m3u8
狂飙 第十一集,https://vip.lzcdn2.com/20230117/23465_e341c79f/1800k/hls/mixed.m3u8
狂飙 第十二集,https://hd.lz-cdn18.com/20230118/14_5c240b76/2000k/hls/mixed.m3u8
狂飙 第十三集,https://hd.lz-cdn18.com/20230118/13_66033d12/2000k/hls/mixed.m3u8
狂飙 第十四集,https://hd.lz-cdn18.com/20230119/21_7325557b/2000k/hls/mixed.m3u8
狂飙 第十五集,https://hd.lz-cdn18.com/20230119/20_8d21dc5b/2000k/hls/mixed.m3u8
狂飙 第十六集,https://hd.lz-cdn18.com/20230120/40_e60ad997/2000k/hls/mixed.m3u8
狂飙 第十七集,https://vip.lzcdn2.com/20230121/23543_4f58c1fd/1800k/hls/mixed.m3u8
狂飙 第十八集,https://vip.lzcdn2.com/20230122/23566_c2819f34/1800k/hls/mixed.m3u8
狂飙 第十九集,https://vip.lzcdn2.com/20230122/23565_0c2ae732/1800k/hls/mixed.m3u8
狂飙 第二十集,https://vip.lzcdn2.com/20230123/23579_1a67afc6/1800k/hls/mixed.m3u8
狂飙 第二十一集,https://vip.lzcdn2.com/20230123/23578_e3d66498/1800k/hls/mixed.m3u8
狂飙 第二十二集,https://hd.lz-cdn18.com/20230124/115_aa734ff7/2000k/hls/mixed.m3u8
狂飙 第二十三集,https://hd.lz-cdn18.com/20230124/114_d696d594/2000k/hls/mixed.m3u8
狂飙 第二十四集,https://vip.lzcdn2.com/20230125/23613_326a56c0/1800k/hls/mixed.m3u8
狂飙 第二十五集,https://vip.lzcdn2.com/20230125/23612_9783c1ee/1800k/hls/mixed.m3u8
狂飙 第二十六集,https://hd.lz-cdn18.com/20230126/155_7258f3cc/2000k/hls/mixed.m3u8
狂飙 第二十七集,https://hd.lz-cdn18.com/20230127/198_7877b31c/2000k/hls/mixed.m3u8
狂飙 第二十八集,https://hd.lz-cdn18.com/20230127/197_e1fe4c05/2000k/hls/mixed.m3u8
狂飙 第二十九集,https://hd.lz-cdn18.com/20230127/196_604186b7/2000k/hls/mixed.m3u8
狂飙 第三十集,https://vip.lzcdn2.com/20230128/23649_fd06986f/1800k/hls/mixed.m3u8
狂飙 第三十一集,https://vip.lzcdn2.com/20230128/23648_622b2fa9/1800k/hls/mixed.m3u8
狂飙 第三十二集,https://hd.lz-cdn18.com/20230129/248_18bd48a7/2000k/hls/mixed.m3u8
狂飙 第三十三集,https://hd.lz-cdn18.com/20230129/247_61a22a1f/2000k/hls/mixed.m3u8
狂飙 第三十四集,https://vip.lzcdn2.com/20230130/23690_ec7e6c19/1800k/hls/mixed.m3u8
狂飙 第三十五集,https://vip.lzcdn2.com/20230130/23689_605a61b6/1800k/hls/mixed.m3u8
狂飙 第三十六集,https://hd.lz-cdn18.com/20230131/297_cc76dd2f/2000k/hls/mixed.m3u8
狂飙 第三十七集,https://hd.lz-cdn18.com/20230131/296_f35955e8/2000k/hls/mixed.m3u8
狂飙 第三十八集,https://vip.lzcdn2.com/20230201/23716_c10840ec/1800k/hls/mixed.m3u8
狂飙 第三十九集,https://vip.lzcdn2.com/20230201/23715_44218045/1800k/hls/mixed.m3u8
电视剧场,#genre#
芈月传,http://fmbox.cc/huya.php?id=11352975
雍正王朝,http://zzy789.xyz/douyu1.php?id=6911044
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
延禧攻略,http://cdn.jdshipin.com:8880/huya.php?id=26355864
延禧攻略,http://103.193.151.146/huya.php?id=26355864
湖南电视剧,http://175.155.106.72:89/live1/live1.m3u8?zsicd 72.会东新闻
家庭剧场,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_877_720P_t10/c54_fast_877_720P_t10.m3u8?d
怀旧年代,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_883_720P_t10/c57_fast_883_720P_t10.m3u8?d
都市生活,http://bscloudcdnct.inter.ptqy.gitv.tv:80/tslive/c56_fast_878_720P_t10/c56_fast_878_720P_t10.m3u8?d
传奇剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_1052_720P_t10/c54_fast_1052_720P_t10.m3u8?d
警匪悬疑,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c58_fast_880_720P_t10/c58_fast_880_720P_t10.m3u8?d
古装剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c55_fast_879_720P_t10/c55_fast_879_720P_t10.m3u8?d
抗战剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_884_720P_t10/c54_fast_884_720P_t10.m3u8?d
谍战剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_882_720P_t10/c57_fast_882_720P_t10.m3u8?d
欢乐剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c56_fast_951_720P_t10/c56_fast_951_720P_t10.m3u8?d
经典老剧,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c55_fast_1051_720P_t10/c55_fast_1051_720P_t10.m3u8?d
乡村剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1050_720P_t10/c59_fast_1050_720P_t10.m3u8?d
电影大片,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_738_720P_t10/c57_fast_738_720P_t10.m3u8?d
爆笑综艺,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_954_720P_t10/c57_fast_954_720P_t10.m3u8?d
智勇闯关,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1027_720P_t10/c60_fast_1027_720P_t10.m3u8?d
相声小品,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1044_720P_t10/c59_fast_1044_720P_t10.m3u8?d
中国通史,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1029_720P_t10/c60_fast_1029_720P_t10.m3u8?d
世界历史,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1026_720P_t10/c60_fast_1026_720P_t10.m3u8?d
传奇故事,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1037_720P_t10/c60_fast_1037_720P_t10.m3u8?d
经典传奇,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1036_720P_t10/c60_fast_1036_720P_t10.m3u8?d
纪实档案,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1034_720P_t10/c60_fast_1034_720P_t10.m3u8?d
天龙八部,#genre#
天龙八部黄日华版第01集,https://vip1.lz-cdn6.com/20220414/3860_91167f57/index.m3u8
天龙八部黄日华版第02集,https://vip1.lz-cdn6.com/20220414/3861_868da890/index.m3u8
天龙八部黄日华版第03集,https://vip1.lz-cdn6.com/20220414/3862_73e721b6/index.m3u8
天龙八部黄日华版第04集,https://vip1.lz-cdn6.com/20220414/3864_d9bde387/index.m3u8
天龙八部黄日华版第05集,https://vip1.lz-cdn6.com/20220414/3863_dc4e103a/index.m3u8
天龙八部黄日华版第06集,https://vip1.lz-cdn6.com/20220414/3867_4b7301fb/index.m3u8
天龙八部黄日华版第07集,https://vip1.lz-cdn6.com/20220414/3865_0040a6b3/index.m3u8
天龙八部黄日华版第08集,https://vip1.lz-cdn6.com/20220414/3866_e3dd4a2d/index.m3u8
天龙八部黄日华版第09集,https://vip1.lz-cdn6.com/20220414/3869_69eab267/index.m3u8
天龙八部黄日华版第10集,https://vip1.lz-cdn6.com/20220414/3868_5f3c41ae/index.m3u8
天龙八部黄日华版第11集,https://vip1.lz-cdn6.com/20220414/3870_6ce384bf/index.m3u8
天龙八部黄日华版第12集,https://vip1.lz-cdn6.com/20220414/3871_e4aab21b/index.m3u8
天龙八部黄日华版第13集,https://vip1.lz-cdn6.com/20220414/3872_bc329d6f/index.m3u8
天龙八部黄日华版第14集,https://vip1.lz-cdn6.com/20220414/3873_a4c161cb/index.m3u8
天龙八部黄日华版第15集,https://vip1.lz-cdn6.com/20220414/3874_2ce79a56/index.m3u8
天龙八部黄日华版第16集,https://vip1.lz-cdn6.com/20220414/3876_9a45fe9c/index.m3u8
天龙八部黄日华版第17集,https://vip1.lz-cdn6.com/20220414/3875_bc2e71dd/index.m3u8
天龙八部黄日华版第18集,https://vip1.lz-cdn6.com/20220414/4058_a87c7205/index.m3u8
天龙八部黄日华版第19集,https://vip1.lz-cdn6.com/20220414/3877_e132daf0/index.m3u8
天龙八部黄日华版第20集,https://vip1.lz-cdn6.com/20220414/3878_071a1d9f/index.m3u8
天龙八部黄日华版第21集,https://vip1.lz-cdn6.com/20220414/3879_ad03aec9/index.m3u8
天龙八部黄日华版第22集,https://vip1.lz-cdn6.com/20220414/3880_5dcaa2e9/index.m3u8
天龙八部黄日华版第23集,https://vip1.lz-cdn6.com/20220414/3881_de62fea3/index.m3u8
天龙八部黄日华版第24集,https://vip1.lz-cdn6.com/20220414/3882_3071ca77/index.m3u8
天龙八部黄日华版第25集,https://vip1.lz-cdn6.com/20220414/3883_2f086009/index.m3u8
天龙八部黄日华版第26集,https://vip1.lz-cdn6.com/20220414/3884_2be2f894/index.m3u8
天龙八部黄日华版第27集,https://vip1.lz-cdn6.com/20220414/3885_21af5418/index.m3u8
天龙八部黄日华版第28集,https://vip1.lz-cdn6.com/20220414/3886_6ca2e32d/index.m3u8
天龙八部黄日华版第29集,https://vip1.lz-cdn6.com/20220414/3887_c5b85297/index.m3u8
天龙八部黄日华版第30集,https://vip1.lz-cdn6.com/20220414/3888_b5839ab7/index.m3u8
天龙八部黄日华版第31集,https://vip1.lz-cdn6.com/20220414/3889_338b06c8/index.m3u8
天龙八部黄日华版第32集,https://vip1.lz-cdn6.com/20220414/3890_7965f90d/index.m3u8
天龙八部黄日华版第33集,https://vip1.lz-cdn6.com/20220414/3891_a9a744d6/index.m3u8
天龙八部黄日华版第34集,https://vip1.lz-cdn6.com/20220414/3892_d4a8ba23/index.m3u8
天龙八部黄日华版第35集,https://vip1.lz-cdn6.com/20220414/3893_d61618c3/index.m3u8
天龙八部黄日华版第36集,https://vip1.lz-cdn6.com/20220414/3894_15f4a34c/index.m3u8
天龙八部黄日华版第37集,https://vip1.lz-cdn6.com/20220414/3895_9124e354/index.m3u8
天龙八部黄日华版第38集,https://vip1.lz-cdn6.com/20220414/3896_889282ef/index.m3u8
天龙八部黄日华版第39集,https://vip1.lz-cdn6.com/20220414/3897_56b0049d/index.m3u8
天龙八部黄日华版第40集,https://vip1.lz-cdn6.com/20220414/3898_b367a102/index.m3u8
天龙八部黄日华版第41集,https://vip1.lz-cdn6.com/20220414/3899_96cb4782/index.m3u8
天龙八部黄日华版第42集,https://vip1.lz-cdn6.com/20220414/3900_f4fcdcfe/index.m3u8
天龙八部黄日华版第43集,https://vip1.lz-cdn6.com/20220414/3901_37775470/index.m3u8
天龙八部黄日华版第44集,https://vip1.lz-cdn6.com/20220414/3902_e4666dc2/index.m3u8
天龙八部黄日华版第45集,https://vip1.lz-cdn6.com/20220414/3903_34515f50/index.m3u8





轮播,#genre#
83版射雕,webview://https://www.yy.com/1354210357
爱情公寓,webview://https://www.huya.com/11336726
白鹿原,webview://https://www.huya.com/11342416
包青天（金超群版）,webview://https://www.yy.com/1356158015
宝莲灯前传,webview://https://www.yy.com/1354931631
镖行天下,webview://https://www.huya.com/11352969
陈情令,webview://https://www.huya.com/29465862
陈翔六点半,webview://https://www.huya.com/11274154
楚汉骄雄,webview://https://www.huya.com/23740156
闯关东,webview://https://www.douyu.com/8787737
炊事班的故事3,webview://https://www.huya.com/19524135
炊事班的故事II,webview://https://www.yy.com/1382851579
打狗棍,webview://https://www.yy.com/39736069
打狗棍,webview://https://www.yy.com/39736069
大明王朝,webview://https://www.yy.com/1382736879
大染坊,webview://https://www.huya.com/11602086
大时代,webview://https://www.yy.com/1354930891
大宋提刑官,webview://https://www.huya.com/26355856
大宋提刑官,webview://https://www.douyu.com/11678039
盗墓笔记,webview://https://www.yy.com/1356373644
盗墓笔记,webview://https://www.yy.com/1356373644
地下交通站,webview://https://www.huya.com/11342433
地下交通站,webview://https://www.huya.com/11342433
电视剧场八,webview://https://www.huya.com/26355775
电视剧场二,webview://https://www.huya.com/11336591
电视剧场九,webview://https://www.huya.com/21059594
电视剧场六,webview://https://www.huya.com/11352936
电视剧场七,webview://https://www.huya.com/21059630
电视剧场十,webview://https://www.huya.com/11336592
电视剧场十一,webview://https://www.huya.com/11602088.fl
电视剧场四,webview://https://www.huya.com/26355783
电视剧场五,webview://https://www.huya.com/11352912
电视剧场一,webview://https://www.huya.com/29465862
短剧轮播,webview://https://www.yy.com/1382881708
二炮手,webview://https://www.yy.com/1354930964
法证先锋,webview://https://www.yy.com/1354930965
放羊的星星,webview://https://www.yy.com/1355260662
飞虎之潜行极战,webview://https://www.yy.com/1354932420
风云雄霸天下,webview://https://www.huya.com/21059612
风筝,webview://https://www.yy.com/1354931585
封神榜,webview://https://www.yy.com/1353426319
封神榜,webview://https://www.yy.com/1353426319
