央卫频道,#genre#
美亚电影频粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
天映频道马国,http://205.185.123.236:8899/astro/tianying/tianying.m3u8
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
动作电影频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
家庭影院频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy
影迷电影频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy
广东珠江频备,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育频备,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
RTHK-31频陆,p3p://108.181.32.169:39554/64101f330006ab429853d45f7940453b
RTHK-32频陆,p3p://108.181.32.169:39554/641020b00001b8599859a360613572d7
RTHK-33频道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34频道,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35频道,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港面包频道,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳门莲花频道,http://php.jdshipin.com:8880/amlh.php
澳视澳门频道,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语频道,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯频道,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac频道,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
民视闽南频道,rtmp://f13h.mine.nu/sat/tv051
中视闽南频道,rtmp://f13h.mine.nu/sat/tv091
华视闽南频道,rtmp://f13h.mine.nu/sat/tv111
台视闽南频道,rtmp://f13h.mine.nu/sat/tv071
东森超视频道,rtmp://f13h.mine.nu/sat/tv331
东森财经频特,http://103.193.151.158:8500/live.m3u8?c=6
环球电视频道,http://zb.xzxwhcb.com:9999/hls/world.m3u8
Astv亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8
GBN新闻频英,http://103.193.151.158:8500/live.m3u8?c=18
NHK新闻频英,http://61.221.215.25:8800/hls/51/index.m3u8
tvbs闽南频特,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧频特,http://61.221.215.25:8800/hls/41/index.m3u8
八大戏剧频特,http://61.221.215.25:8800/hls/39/index.m3u8
八大第一频特,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合频特,http://61.221.215.25:8800/hls/56/index.m3u8
中天娱乐频特,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩频特,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频国,http://61.221.215.25:8800/hls/57/index.m3u8
纬来育乐频特,rtmp://f13h.mine.nu/sat/tv701
纬来日本频特,rtmp://f13h.mine.nu/sat/tv771
纬来体育频特,rtmp://f13h.mine.nu/sat/tv721
DAZN体育壹,rtmp://f13h.mine.nu/sat/tv731
DAZN体育贰,rtmp://f13h.mine.nu/sat/tv741
amc电影频英,http://61.221.215.25:8800/hls/43/index.m3u8
ASC搜索频英,http://61.221.215.25:8800/hls/50/index.m3u8
Diso综合频英,http://61.221.215.25:8800/hls/1/index.m3u8
momoTV频特,rtmp://f13h.mine.nu/sat/tv761
东森新闻频道,http://37.27.111.214:8080/live/20/hls.m3u8
tvbs闽南频道,http://37.27.111.214:8080/live/23/hls.m3u8
民视闽南频道,http://37.27.111.214:8080/live/6/hls.m3u8
中视闽南频道,http://37.27.111.214:8080/live/7/hls.m3u8
华视闽南频道,http://37.27.111.214:8080/live/8/hls.m3u8
民视第一频道,http://37.27.111.214:8080/live/4/hls.m3u8
民视台湾频道,http://37.27.111.214:8080/live/5/hls.m3u8
三立综合频道,http://37.27.111.214:8080/live/31/hls.m3u8
tvbs欢乐频道,http://37.27.111.214:8080/live/24/hls.m3u8
龙华洋片频道,http://37.27.111.214:8080/live/19/hls.m3u8
猪哥亮歌厅国,http://37.27.111.214:8080/live/35/hls.m3u8
亚洲旅游频道,http://37.27.111.214:8080/live/10/hls.m3u8
幸福空间频道,http://37.27.111.214:8080/live/26/hls.m3u8
HakkaTV频道,http://37.27.111.214:8080/live/1/hls.m3u8
TiTV原视频道,http://37.27.111.214:8080/live/2/hls.m3u8
动画动漫频道,http://37.27.111.214:8080/live/57/hls.m3u8
Nick动画频壹,http://37.27.111.214:8080/live/12/hls.m3u8
Nick动画频贰,http://37.27.111.214:8080/live/22/hls.m3u8
MoMo亲子国,http://37.27.111.214:8080/live/3/hls.m3u8
博斯高球频壹,http://37.27.111.214:8080/live/13/hls.m3u8
博斯运动频壹,http://37.27.111.214:8080/live/14/hls.m3u8
博斯无限频道,http://37.27.111.214:8080/live/15/hls.m3u8
mTV音乐频道,http://37.27.111.214:8080/live/25/hls.m3u8
HISTORY频道,http://37.27.111.214:8080/live/27/hls.m3u8
HITs电影频道,http://37.27.111.214:8080/live/28/hls.m3u8
探案电影频道,http://37.27.111.214:8080/live/11/hls.m3u8
CINEMA-频道,http://37.27.111.214:8080/live/30/hls.m3u8
TV5_MONDE,http://37.27.111.214:8080/live/9/hls.m3u8
BlOOm-BERg,http://37.27.111.214:8080/live/34/hls.m3u8
DWnews频道,http://37.27.111.214:8080/live/46/hls.m3u8
CNBc_英频道,http://37.27.111.214:8080/live/102/hls.m3u8
互动英語频道,http://37.27.111.214:8080/live/54/hls.m3u8







雨伞卫视,#genre#
江苏卫视,http://175.10.230.91:8081/tsfile/live/0127_1.m3u8
浙江卫视,http://175.10.230.91:8081/tsfile/live/0124_1.m3u8
安徽卫视,http://175.10.230.91:8081/tsfile/live/0130_1.m3u8
北京卫视,http://175.10.230.91:8081/tsfile/live/0122_1.m3u8
天津卫视,http://175.10.230.91:8081/tsfile/live/0135_1.m3u8
东方卫视,http://175.10.230.91:8081/tsfile/live/0107_1.m3u8
江西卫视,http://175.10.230.91:8081/tsfile/live/0138_1.m3u8
深圳卫视,http://175.10.230.91:8081/tsfile/live/0126_1.m3u8
辽宁卫视,http://175.10.230.91:8081/tsfile/live/0121_1.m3u8
东南卫视,http://175.10.230.91:8081/tsfile/live/0137_1.m3u8
海南卫视,http://175.10.230.91:8081/tsfile/live/1003_1.m3u8
广东卫视,http://175.10.230.91:8081/tsfile/live/0125_1.m3u8
湖北卫视,http://175.10.230.91:8081/tsfile/live/0132_1.m3u8
广西卫视,http://175.10.230.91:8081/tsfile/live/0113_1.m3u8
山东卫视,http://175.10.230.91:8081/tsfile/live/0131_1.m3u8
四川卫视,http://175.10.230.91:8081/tsfile/live/0123_1.m3u8
重庆卫视,http://175.10.230.91:8081/tsfile/live/0142_1.m3u8
云南卫视,http://175.10.230.91:8081/tsfile/live/0119_1.m3u8
河南卫视,http://175.10.230.91:8081/tsfile/live/0139_1.m3u8
黑龙江卫视,http://175.10.230.91:8081/tsfile/live/0143_1.m3u8
贵州卫视,http://175.10.230.91:8081/tsfile/live/0120_1.m3u8
河北卫视,http://175.10.230.91:8081/tsfile/live/0117_1.m3u8
吉林卫视,http://175.10.230.91:8081/tsfile/live/0116_1.m3u8
陕西卫视,http://175.10.230.91:8081/tsfile/live/0136_1.m3u8
山西卫视,http://175.10.230.91:8081/tsfile/live/0118_1.m3u8
内蒙古卫视,http://175.10.230.91:8081/tsfile/live/0109_1.m3u8
宁夏卫视,http://175.10.230.91:8081/tsfile/live/0112_1.m3u8
西藏卫视,http://175.10.230.91:8081/tsfile/live/0111_1.m3u8
新疆卫视,http://175.10.230.91:8081/tsfile/live/0110_1.m3u8
南方卫视,http://175.10.230.91:8081/tsfile/live/1004_1.m3u8
卡酷动画,http://175.10.230.91:8081/tsfile/live/1005_1.m3u8
优漫卡通,http://175.10.230.91:8081/tsfile/live/1006_1.m3u8
哈哈炫动,http://175.10.230.91:8081/tsfile/live/1007_1.m3u8


顺溜地方台,#genre#
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
松阳综合频道,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
巩义新闻综合,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8
荥阳综合,http://tvpull.dxhmt.cn:9081/tv/10182-1.m3u8
新安新闻综合,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8
登封综合,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8
宜阳综合频道,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
叶县电视,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
内黄综合频道,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8
温县综合,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8
灵宝新闻综合,http://tvpull.dxhmt.cn:9081/tv/11282-1.m3u8
邓州新闻,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8
西华综合频道,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8
新县综合,http://tvpull.dxhmt.cn:9081/tv/11523-1.m3u8
新蔡综合,http://tvpull.dxhmt.cn:9081/tv/11729-1.m3u8
济源综合,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8
项城新闻,http://tvpull.dxhmt.cn:9081/tv/11681-1.m3u8
叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8
长宁综合,http://cnpull.sccnfb.com/live/123456.m3u8
高邮综合频道,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8
伊犁汉语综合,http://110.153.180.106:55555/out_1/index.m3u8
伊犁哈萨克,http://110.153.180.106:55555/out_3/index.m3u8
伊犁经济法制,http://110.153.180.106:55555/out_4/index.m3u8
金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
晋中综合,http://jzlive.jztvnews.com:83/live/mount_for_ts/jzzh.m3u8
吴忠综合,http://live.kanwz.net/zhpd/sd/live.m3u8
潞城新闻综合,http://59.48.42.6:62204/lucheng.m3u8
玛纳斯综合,http://218.84.127.245:1026/hls/main1/playlist.m3u8
泸县新闻综合,http://lxfile.lxxcb.cn/nmip-media/channellive/channel103799/playlist.m3u8
石河子新闻综合,http://124.88.144.73:1935/live/xwzh/playlist.m3u8
来宾综合,http://zb.gxlbamc.com:1935/live/lbzh.stream/playlist.m3u8
贺州综合,http://zhz.gxhzxw.com:2935/live/HZXW-HD/playlist.m3u8
可克达拉综合,http://test5.btzx.com.cn/live/kkdl.stream/playlist.m3u8
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
奎屯汉语综合,http://218.84.12.186:8001/hls/main/playlist.m3u8
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8
吉县新闻综合,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8
松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8
什邡新闻频道,http://live.sfrmt.com:85/live/zhpd.m3u8
马尔康综合,http://live.zmmek.com:90/live/zhxw.m3u8
汶川新闻综合,http://live.iwcmt.cn:90/live/zhxw.m3u8
方城一套,http://tvpull.dxhmt.cn:9081/tv/11322-1.m3u8
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
金川新闻综合,http://live.jinchuanrmt.com:90/live/zhxw.m3u8
松桃,http://live.strmtzx.cn/stxw/playlist.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/playlist.m3u8
哈尔滨新闻,http://stream.hrbtv.net/xwzh/playlist.m3u8
荆门新闻,http://stream.jmtv.com.cn/xwzh/playlist.m3u8
哈尔滨生活,http://stream.hrbtv.net/shpd/playlist.m3u8
荆门教育,http://stream.jmtv.com.cn/ggsh/playlist.m3u8
淮安影视,http://live1.habctv.com/ysylsl/playlist.m3u8
淮安公共,http://live1.habctv.com/ggpdsl/playlist.m3u8
晋城新闻,http://live.jinnews.com.cn/xwzh/playlist.m3u8
晋城公共,http://live.jinnews.com.cn/ggpd/playlist.m3u8
公主岭综合,http://stream5.jlntv.cn/gzl/playlist.m3u8
枣庄新闻,http://stream.zztvzd.com/1/playlist.m3u8
枣庄教育,http://stream.zztvzd.com/2/playlist.m3u8
枣庄公共,http://stream.zztvzd.com/3/playlist.m3u8
万州综合频道(576p),http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
吴忠综合,http://live.kanwz.net/zhpd/playlist.m3u8
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd
河北荆门教育,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
河北荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
河南兰考新闻,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
郸城新闻综合,http://live.dxhmt.cn:9081/tv/11625-1.m3u8
济源电视体系,http://live.dxhmt.cn:9081/tv/19001-1.m3u8
开封新闻综合,http://live.dxhmt.cn:9081/tv/10200-2.m3u8
河南|宜阳综合,http://live.dxhmt.cn:9081/tv/10327-1.m3u8
河南|杞县综合,http://live.dxhmt.cn:9081/tv/10221-1.m3u8
河南|灵宝电视台,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
河南|叶县电视台,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
河南|禹州综合,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
河南|项城电视台,http://live.dxhmt.cn:9081/tv/11681-1.m3u8
河南|渑池综合,http://live.dxhmt.cn:9081/tv/11221-1.m3u8
河南|河南新闻,http://live.dxhmt.cn:9081/tv/10825-1.m3u8
河南|卫辉综合,http://live.dxhmt.cn:9081/tv/10781-1.m3u8
河南|汤阴电视台,http://live.dxhmt.cn:9081/tv/10523-1.m3u8
河南|林州电视台,http://live.dxhmt.cn:9081/tv/10581-1.m3u8
河南|新野综合,http://live.dxhmt.cn:9081/tv/11329-1.m3u8
河南|新安电视台,http://live.dxhmt.cn:9081/tv/10323-1.m3u8
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8?zjiansd
淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8?zjiansd
鄂托克旗电视台,http://110.19.181.138:10080/hls/F509Rh7GR/F509Rh7GR_live.m3u8
河南淅川电视台,http://live.dxhmt.cn:9081/tv/11326-1.m3u8
南宁都市生活频道,http://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁新闻综合频道,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁公共频道,https://hls.nntv.cn/nnlive/GGPD_24.m3u8
荣昌综合频道,http://183.64.181.25:40023/rongchang01.m3u8
张家口一套新闻综合频道,http://nlive.zjkgdcs.com:8091/live/xwzhpd.m3u8
万州综合频道,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
十堰新闻综合频道,https://p8.vzan.com/slowlive/034028687228317362/live.m3u8
荆门新闻频道,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
新郑新闻综合频道,http://live.dxhmt.cn:9081/tv/10184-1.m3u8
内黄新闻综合频道,http://live.dxhmt.cn:9081/tv/10527-1.m3u8
获嘉新闻综合频道,http://live.dxhmt.cn:9081/tv/10724-1.m3u8
汝阳综合频道,http://tvpull.dxhmt.cn:9081/tv/10326-1.m3u8
焦作公共频道,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
沁阳新闻综合频道,http://live.dxhmt.cn:9081/tv/10882-1.m3u8
焦作新闻综合频道,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
孟州新闻综合频道,http://live.dxhmt.cn:9081/tv/10883-1.m3u8
灵宝新闻综合频道,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
兰考新闻综合频道,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
开封公共频道,http://tvpull.dxhmt.cn:9081/tv/10200-3.m3u8
襄城新闻综合频道,http://live.dxhmt.cn:9081/tv/11025-1.m3u8
鄢陵新闻综合频道,http://live.dxhmt.cn:9081/tv/11024-1.m3u8
禹州新闻综合频道,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
宝丰新闻综合频道,http://live.dxhmt.cn:9081/tv/10421-1.m3u8
确山新闻综合频道,http://live.dxhmt.cn:9081/tv/11725-1.m3u8
德阳公共频道,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8
广安公共频道,http://live1.gatv.com.cn:85/live/GGPD.m3u8
泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
广南电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel19/playlist.m3u8
富宁电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel13/playlist.m3u8
丘北电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel14/playlist.m3u8
江宁电视台综合频道,https://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8
如东一套新闻综合频道,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
广安新闻综合频道,http://live1.gatv.com.cn:85/live/XWZH.m3u8
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
泗洪新闻综合频道,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8
河源综合频道,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共频道,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
涟水电视台综合频道,http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8
丘北新闻综合,https://epg.pw/stream/34f594424a186a28a9521b8cb3912cdf85b93897313182a9abeaf096b23e9458.m3u8
丘北新闻综合,https://epg.pw/stream/4b5706a180b5efb75917a24dfa73a63c0befc8f2fe701017d2bf9c846479ace3.m3u8
伊春新聞綜合,https://epg.pw/stream/fda444a770245fbced13c1292344da143a4ba42d98de269c5614119a78435716.m3u8
义乌新闻,https://epg.pw/stream/9406fbf54133d1fe56dad9e979ede745f39a5ecd64b1ba3705c60a33ca5cc815.m3u8
内黄新闻综合频道,https://epg.pw/stream/be7e252270432ee9f17312a39a1f303c3d89f55594ed1d36f9ba46cc61e7a1a5.m3u8
武义新闻综合,https://epg.pw/stream/571f9097fdacfdabda282a2d677089e472be19a1160207daa99c5d47ba171706.m3u8
浙江新闻,https://epg.pw/stream/4cb4bcb7ae35f2b30dee6b1be1a2d22108c73e9bc3729826ea009821ae7af456.m3u8
江蘇公共新聞,https://epg.pw/stream/52e6b218b89c4eb770a708a7ad50bce31279aa79c1d0f6bed318afb57ae35287.m3u8
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8
